BJD	BJD0	Porb	E	O-C (days)	err.	source
2458597.588223 	2451659.481968 	0.41695902	16640	-0.0918378	0.00116	AAVSO
2458598.853055 	2451659.481968 	0.41695902	16643	-0.07788286	0.00235	AAVSO
2458599.688258 	2451659.481968 	0.41695902	16645	-0.0765979	0.00055	AAVSO
2458600.512010 	2451659.481968 	0.41695902	16647	-0.08676394	0.02258	TESS
2458600.918610 	2451659.481968 	0.41695902	16648	-0.09712296	0.00694	TESS
2458601.360430 	2451659.481968 	0.41695902	16649	-0.07226198	0.00295	TESS
2458601.774740 	2451659.481968 	0.41695902	16650	-0.074911	0.00174	TESS
2458602.171860 	2451659.481968 	0.41695902	16651	-0.09475002	0.00951	TESS
2458602.596930 	2451659.481968 	0.41695902	16652	-0.08663904	0.00277	TESS
2458602.980820 	2451659.481968 	0.41695902	16653	-0.11970806	0.00569	TESS
2458603.411840 	2451659.481968 	0.41695902	16654	-0.10564708	0.00432	TESS
2458603.864370 	2451659.481968 	0.41695902	16655	-0.0700761	0.00094	TESS
2458604.275160 	2451659.481968 	0.41695902	16656	-0.07624512	0.00437	TESS
2458604.697470 	2451659.481968 	0.41695902	16657	-0.07089414	0.00156	TESS
2458605.108300 	2451659.481968 	0.41695902	16658	-0.07702316	0.00472	TESS
2458605.525220 	2451659.481968 	0.41695902	16659	-0.07706218	0.00134	TESS
2458605.941150 	2451659.481968 	0.41695902	16660	-0.0780912	0.00256	TESS
2458606.356750 	2451659.481968 	0.41695902	16661	-0.07945022	0.00264	TESS
2458606.782480 	2451659.481968 	0.41695902	16662	-0.07067924	0.00144	TESS
2458607.203810 	2451659.481968 	0.41695902	16663	-0.06630826	0.00268	TESS
2458607.601730 	2451659.481968 	0.41695902	16664	-0.08534728	0.00498	TESS
2458608.025670 	2451659.481968 	0.41695902	16665	-0.0783663	0.00243	TESS
2458608.441160 	2451659.481968 	0.41695902	16666	-0.07983532	0.00251	TESS
2458608.838580 	2451659.481968 	0.41695902	16667	-0.09937434	0.01004	TESS
2458609.268400 	2451659.481968 	0.41695902	16668	-0.08651336	0.00248	TESS
2458614.705410 	2451659.481968 	0.41695902	16681	-0.06997062	0.00246	TESS
2458615.111810 	2451659.481968 	0.41695902	16682	-0.08052964	0.00335	TESS
2458615.537820 	2451659.481968 	0.41695902	16683	-0.07147866	0.00148	TESS
2458615.938660 	2451659.481968 	0.41695902	16684	-0.08759768	0.00332	TESS
2458616.351980 	2451659.481968 	0.41695902	16685	-0.0912367	0.00485	TESS
2458616.776650 	2451659.481968 	0.41695902	16686	-0.08352572	0.00234	TESS
2458617.181750 	2451659.481968 	0.41695902	16687	-0.09538474	0.00222	TESS
2458617.618350 	2451659.481968 	0.41695902	16688	-0.07574376	0.00282	TESS
2458617.626415 	2451659.481968 	0.41695902	16688	-0.06767876	0.00152	AAVSO
2458618.032200 	2451659.481968 	0.41695902	16689	-0.07885278	0.0011	TESS
2458618.456740 	2451659.481968 	0.41695902	16690	-0.0712718	0.00139	TESS
2458618.845630 	2451659.481968 	0.41695902	16691	-0.09934082	0.00301	TESS
2458619.256590 	2451659.481968 	0.41695902	16692	-0.10533984	0.00511	TESS
2458619.690110 	2451659.481968 	0.41695902	16693	-0.08877886	0.00214	TESS
2458619.694135 	2451659.481968 	0.41695902	16693	-0.08475386	0.00184	AAVSO
2458620.110710 	2451659.481968 	0.41695902	16694	-0.08513788	0.00145	TESS
2458620.519200 	2451659.481968 	0.41695902	16695	-0.0936069	0.0054	TESS
2458620.527330 	2451659.481968 	0.41695902	16695	-0.0854769	0.00069	AAVSO
2458620.957660 	2451659.481968 	0.41695902	16696	-0.07210592	0.00182	TESS
2458621.355600 	2451659.481968 	0.41695902	16697	-0.09112494	0.00981	TESS
2458621.783330 	2451659.481968 	0.41695902	16698	-0.08035396	0.0034	TESS
2458622.187650 	2451659.481968 	0.41695902	16699	-0.09299298	0.00154	TESS
2458622.614090 	2451659.481968 	0.41695902	16700	-0.083512	0.00179	TESS
2458623.043290 	2451659.481968 	0.41695902	16701	-0.07127102	0.00221	TESS
2458623.456990 	2451659.481968 	0.41695902	16702	-0.07453004	0.00243	TESS
2458624.715922 	2451659.481968 	0.41695902	16705	-0.0664751	0.00096	AAVSO
2458627.616605 	2451659.481968 	0.41695902	16712	-0.08450524	0.00102	AAVSO
2458629.707383 	2451659.481968 	0.41695902	16717	-0.07852234	0.0018	AAVSO
2458645.555147 	2451659.481968 	0.41695902	16755	-0.0752011	0.00123	AAVSO
2458652.626568 	2451659.481968 	0.41695902	16772	-0.09208344	0.00127	AAVSO
2458655.560782 	2451659.481968 	0.41695902	16779	-0.07658258	0.00055	AAVSO
2458675.568653 	2451659.481968 	0.41695902	16827	-0.08274454	0.00092	AAVSO
2458680.572675 	2451659.481968 	0.41695902	16839	-0.08223078	0.00186	AAVSO
